fold,direction,target_prec,tau
0,down,0.2,-1.972281813621521
0,down,0.3,0.6882082223892212
0,down,0.4,2.043525218963623
0,up,0.2,-1.2235939502716064
0,up,0.3,0.015948504209518433
0,up,0.4,0.8158119916915894
1,down,0.2,-2.7616467475891113
1,down,0.3,-0.11541706323623657
1,down,0.4,1.7467387914657593
1,up,0.2,-2.00523042678833
1,up,0.3,-0.6655995845794678
1,up,0.4,0.19259771704673767
2,down,0.2,-0.1251712441444397
2,down,0.3,2.3651769161224365
2,down,0.4,3.1773643493652344
2,up,0.2,-1.3135515451431274
2,up,0.3,-0.16767385601997375
2,up,0.4,0.6524338722229004
3,down,0.2,-0.991632878780365
3,down,0.3,1.21836256980896
3,down,0.4,2.348278522491455
3,up,0.2,-0.9014147520065308
3,up,0.3,0.3904734253883362
3,up,0.4,1.3174207210540771
4,down,0.2,-2.2765564918518066
4,down,0.3,-0.059517085552215576
4,down,0.4,1.6676909923553467
4,up,0.2,-0.9406654238700867
4,up,0.3,0.3045268654823303
4,up,0.4,1.088519811630249
