direction,target_prec,k,frac_units_with_alert,frac_units_with_hit,hit_rate_given_alert,frac_units_with_mover
down,0.2,5,0.9172571364728228,0.2647410759175465,0.2884099518362399,0.5819010111166973
down,0.2,10,0.9342070782980987,0.3536944908121811,0.3776760478758153,0.6006610956941273
down,0.2,15,0.9477742161045246,0.3806931120905713,0.40084674714956403,0.6083775268893236
down,0.2,20,0.9613625053625053,0.40302249419230557,0.4182950155466435,0.6283238062860704
down,0.3,5,0.8282006591810512,0.24922350706664434,0.3015560365560365,0.5819010111166973
down,0.3,10,0.8489752641942513,0.3078608448072603,0.36164039111800306,0.6006610956941273
down,0.3,15,0.8607262670783541,0.3227370935174928,0.3738315248692607,0.6083775268893236
down,0.3,20,0.8740537626575362,0.33737493828059867,0.3846600529100529,0.6283238062860704
down,0.4,5,0.7444081336238199,0.2162052399307301,0.29201348601428073,0.5819010111166973
down,0.4,10,0.7652718947311559,0.24853061464267726,0.32470505364303,0.6006610956941273
down,0.4,15,0.7751628287018487,0.2567225273214384,0.3309558637965998,0.6083775268893236
down,0.4,20,0.7922054345450572,0.2720155735250075,0.34255847953216373,0.6283238062860704
up,0.2,5,0.925465057817999,0.3879610077649293,0.4197253701343997,0.656656052734484
up,0.2,10,0.9277435149468426,0.4912775585885446,0.5302242527752303,0.6776847000972277
up,0.2,15,0.931801682890612,0.5500227842333105,0.5902848456916251,0.6897294175878568
up,0.2,20,0.9438932193649174,0.5876355924657812,0.622634956621945,0.716502658993225
up,0.3,5,0.8769046421987599,0.36801798782190936,0.42094409766230373,0.656656052734484
up,0.3,10,0.8797334384072822,0.45475935042854543,0.5186316528769892,0.6776847000972277
up,0.3,15,0.8829899985072398,0.49416723627249937,0.5607445318954646,0.6897294175878568
up,0.3,20,0.9018459321855549,0.5247458455760343,0.5821992180139438,0.716502658993225
up,0.4,5,0.8008312384782974,0.3367415228199542,0.421668523324261,0.656656052734484
up,0.4,10,0.8150425302615172,0.39707946404790057,0.48845625484969746,0.6776847000972277
up,0.4,15,0.8171926681908532,0.4258514625120796,0.5210550887021476,0.6897294175878568
up,0.4,20,0.8374323757719985,0.447940652242539,0.5343743250463231,0.716502658993225
