direction,target_prec,k,tau_mean,precision,precision_sd,alerts_per_unit,total_alerts,total_hits,recall,units,units_excluded_lt_k
down,0.2,5,-1.6254578351974487,0.11708772169912356,0.038938949236967065,4.114819842466901,1538,175,0.24276700276484436,373,11
down,0.2,10,-1.6254578351974487,0.1069335834488399,0.030347344272048122,7.378977306846158,2665,278,0.38991295365545314,361,23
down,0.2,15,-1.6254578351974487,0.09662756521587901,0.021813725986893757,9.54352102827602,3363,319,0.44904565590535805,353,31
down,0.2,20,-1.6254578351974487,0.09403531868662299,0.02146950542509982,11.00213525655035,3722,342,0.4792163876126751,339,45
down,0.3,5,0.8193627119064331,0.1304371091961279,0.04610859441527286,3.408030277638121,1273,161,0.22267341946491523,373,11
down,0.3,10,0.8193627119064331,0.12323661611629566,0.03957452170440294,5.5816979203815515,2012,240,0.33660578870011204,361,23
down,0.3,15,0.8193627119064331,0.11919108488150057,0.03665853036818076,6.555009781507058,2316,264,0.3709107541138622,353,31
down,0.3,20,0.8193627119064331,0.11867811166694375,0.03904296230669801,7.140286345644836,2425,271,0.3800595417964293,339,45
down,0.4,5,2.1967195749282835,0.1400599751556818,0.060234239813965855,2.680779844701413,1003,133,0.18494195882540368,373,11
down,0.4,10,2.1967195749282835,0.13464541571089955,0.04959370377051408,3.876295973824724,1406,177,0.24807569917671363,361,23
down,0.4,15,2.1967195749282835,0.1317093291684371,0.05048605973953621,4.294936007730926,1528,184,0.2582940499316497,353,31
down,0.4,20,2.1967195749282835,0.13302607040397435,0.05139802181885031,4.544737945492662,1553,187,0.2628794157853083,339,45
up,0.2,5,-1.2768912196159363,0.16101656136452558,0.02837168917321148,4.2568197307413,1580,254,0.28788604125700323,373,11
up,0.2,10,-1.2768912196159363,0.14531763762572972,0.018638956197419468,7.921422880194595,2850,410,0.4683730229308942,361,23
up,0.2,15,-1.2768912196159363,0.13624523462496035,0.021724390898170114,10.851862414657333,3817,515,0.5854758344012599,353,31
up,0.2,20,-1.2768912196159363,0.13111232806761858,0.022969525414063843,13.312055430093167,4493,580,0.6602125273615386,339,45
up,0.3,5,-0.02446492910385132,0.1710490821026333,0.036442427220424595,3.834917602368583,1421,242,0.2726243255203217,373,11
up,0.3,10,-0.02446492910385132,0.16093184786775105,0.03260550873497338,6.597422103220978,2379,375,0.42722297658681085,361,23
up,0.3,15,-0.02446492910385132,0.1537349418210951,0.03633539211343471,8.427266834798596,2977,444,0.5050691234021046,353,31
up,0.3,20,-0.02446492910385132,0.15033372110256238,0.03546795676042959,9.721649692819504,3301,479,0.5444654249651908,339,45
up,0.4,5,0.8133568227291107,0.18432399472096647,0.057069551945879815,3.335055583486956,1238,224,0.2511360244274427,373,11
up,0.4,10,0.8133568227291107,0.17135342945318388,0.039577972594499765,5.262416891484667,1905,315,0.3577495368540734,361,23
up,0.4,15,0.8133568227291107,0.1665493555989161,0.04151706649569618,6.361128919477377,2257,359,0.40623763222802456,353,31
up,0.4,20,0.8133568227291107,0.1672047929422414,0.04365132534719117,6.946407388520596,2373,376,0.4255775623514507,339,45
